flag,gender,education,house_val,age,online,customer_psy,occupation,mortgage,region,car_prob,fam_income
N,F,1. HS,167249,5_<=55,Y,F,Sales/Service,1Low,Midwest,1,E
Y,M,2. Some College,215736,3_<=35,Y,F,Professional,1Low,West,3,D
N,U,3. Bach,69978,1_Unk,Y,B,Sales/Service,3High,West,1,K
N,U,4. Grad,47415,5_<=55,N,G,Professional,1Low,Northeast,7,G
N,F,. <HS,362839,3_<=35,N,C,Blue Collar,1Low,Midwest,8,D
N,M,3. Bach,15495,4_<=45,Y,F,Professional,1Low,Midwest,2,G
Y,M,. <HS,,1_Unk,Y,D,Others,1Low,Rest,2,G
N,M,2. Some College,221215,4_<=45,N,A,Sales/Service,1Low,South,2,C
Y,F,1. HS,,1_Unk,Y,F,Sales/Service,1Low,South,2,F
Y,M,3. Bach,677162,4_<=45,Y,C,Sales/Service,1Low,Northeast,1,H
Y,M,2. Some College,354511,5_<=55,Y,I,Professional,3High,West,4,F
Y,M,2. Some College,669532,5_<=55,Y,B,Professional,3High,West,2,J
Y,F,2. Some College,56637,4_<=45,Y,C,Professional,3High,West,2,H
Y,F,1. HS,298,5_<=55,Y,C,Sales/Service,1Low,Midwest,5,E
N,F,3. Bach,482761,5_<=55,Y,C,Professional,1Low,Northeast,1,J
Y,F,3. Bach,165135,3_<=35,N,C,Professional,1Low,South,3,E
N,F,3. Bach,21562,7_>65,Y,D,Retired,1Low,West,2,C
Y,M,2. Some College,29568,3_<=35,Y,A,Blue Collar,3High,Northeast,2,G
Y,M,3. Bach,158264,4_<=45,Y,C,Professional,1Low,West,1,H
N,F,2. Some College,6871,5_<=55,Y,C,Professional,3High,West,1,F
Y,M,2. Some College,15864,4_<=45,Y,F,Blue Collar,2Med,South,5,E
Y,M,4. Grad,,5_<=55,N,B,Sales/Service,1Low,Northeast,4,F
N,F,2. Some College,,1_Unk,N,F,Sales/Service,1Low,Northeast,8,D
N,F,2. Some College,,1_Unk,N,G,Sales/Service,1Low,Northeast,9,C
Y,F,3. Bach,286288,4_<=45,Y,C,Professional,3High,South,1,E
Y,M,2. Some College,1193332,5_<=55,Y,B,Professional,3High,West,1,H
Y,M,3. Bach,21424,4_<=45,Y,B,Professional,1Low,South,3,F
N,F,2. Some College,296995,2_<=25,Y,E,Sales/Service,3High,Northeast,1,A
Y,M,3. Bach,343742,6_<=65,Y,B,Sales/Service,1Low,Midwest,1,I
N,M,. <HS,19444,6_<=65,Y,E,Blue Collar,1Low,South,3,G
Y,M,3. Bach,253326,6_<=65,Y,B,Professional,1Low,South,2,F
N,F,1. HS,1,3_<=35,N,E,Sales/Service,1Low,West,9,A
N,M,2. Some College,279585,2_<=25,N,F,Others,1Low,South,4,C
N,M,4. Grad,,1_Unk,Y,C,Professional,1Low,Midwest,2,F
Y,F,3. Bach,121971,6_<=65,Y,I,Professional,1Low,South,2,D
Y,F,2. Some College,553196,6_<=65,Y,B,Sales/Service,1Low,West,3,G
N,M,. <HS,172114,2_<=25,N,E,Blue Collar,2Med,Midwest,7,F
Y,F,1. HS,165952,3_<=35,Y,J,Blue Collar,2Med,Midwest,6,F
Y,F,4. Grad,545,4_<=45,Y,B,Professional,3High,South,1,G
N,F,. <HS,,1_Unk,N,U,Sales/Service,1Low,South,,U
Y,M,. <HS,5358,3_<=35,Y,E,Sales/Service,1Low,West,1,F
Y,M,2. Some College,33746,1_Unk,Y,G,Others,1Low,West,9,C
N,F,1. HS,95222,7_>65,N,E,Retired,1Low,Midwest,6,E
N,F,2. Some College,1,4_<=45,N,E,Professional,1Low,South,1,E
Y,F,2. Some College,47524,3_<=35,Y,C,Sales/Service,3High,South,1,F
N,M,4. Grad,49486,5_<=55,Y,C,Professional,1Low,Midwest,1,L
Y,F,2. Some College,7465,5_<=55,Y,B,Sales/Service,2Med,Northeast,2,J
N,F,1. HS,11787,3_<=35,Y,F,Blue Collar,1Low,South,6,G
Y,F,3. Bach,26685,1_Unk,Y,F,Sales/Service,1Low,South,3,F
Y,M,3. Bach,,6_<=65,N,E,Professional,1Low,Northeast,2,G
N,M,. <HS,18825,6_<=65,Y,J,Retired,1Low,West,2,F
N,M,. <HS,1417,3_<=35,Y,F,Sales/Service,1Low,Northeast,1,E
Y,M,3. Bach,6544,6_<=65,N,C,Sales/Service,1Low,South,3,G
Y,M,3. Bach,589145,4_<=45,N,C,Sales/Service,1Low,West,2,G
Y,M,3. Bach,32148,7_>65,Y,B,Sales/Service,1Low,South,1,G
Y,F,3. Bach,539451,4_<=45,Y,E,Sales/Service,1Low,South,1,G
N,M,. <HS,32531,3_<=35,Y,E,Sales/Service,1Low,Northeast,1,F
Y,M,4. Grad,72732,6_<=65,Y,C,Professional,3High,West,2,K
N,F,1. HS,27468,7_>65,Y,D,Retired,1Low,South,9,A
Y,F,1. HS,19729,3_<=35,Y,D,Professional,2Med,Northeast,7,E
Y,F,1. HS,126341,1_Unk,N,D,Professional,1Low,West,7,B
N,F,2. Some College,94949,2_<=25,Y,E,Sales/Service,1Low,Northeast,4,E
Y,F,,532737,4_<=45,N,F,Blue Collar,1Low,West,5,E
N,M,1. HS,14664,7_>65,Y,D,Sales/Service,1Low,Midwest,8,D
N,F,1. HS,291738,7_>65,Y,H,Others,1Low,Northeast,2,B
Y,F,1. HS,242817,4_<=45,Y,A,Sales/Service,2Med,West,2,E
N,F,2. Some College,55383,1_Unk,Y,B,Sales/Service,3High,South,1,L
Y,F,4. Grad,523396,5_<=55,Y,B,Sales/Service,2Med,Midwest,1,G
N,U,. <HS,632172,6_<=65,N,E,Retired,2Med,Northeast,2,B
N,F,2. Some College,,6_<=65,Y,H,Sales/Service,1Low,Midwest,5,C
N,M,1. HS,152273,6_<=65,Y,E,Blue Collar,1Low,South,6,F
N,M,1. HS,86982,7_>65,Y,D,Retired,1Low,South,2,E
Y,F,1. HS,265752,1_Unk,Y,C,Sales/Service,3High,Northeast,3,F
Y,M,. <HS,11554,7_>65,N,D,Retired,1Low,West,1,B
Y,M,2. Some College,24143,5_<=55,Y,B,Professional,1Low,South,1,F
N,M,3. Bach,22626,4_<=45,Y,C,Professional,1Low,West,4,K
Y,F,2. Some College,22152,4_<=45,Y,F,Blue Collar,2Med,Northeast,4,F
N,F,2. Some College,268172,1_Unk,Y,I,Sales/Service,1Low,West,3,C
N,M,1. HS,111659,5_<=55,Y,F,Blue Collar,1Low,South,4,E
Y,M,2. Some College,127857,4_<=45,Y,F,Professional,1Low,West,2,E
N,M,. <HS,2416,6_<=65,N,E,Blue Collar,1Low,South,2,B
N,M,1. HS,133114,7_>65,N,D,Retired,2Med,Midwest,3,E
Y,M,2. Some College,241718,2_<=25,Y,E,Sales/Service,1Low,South,2,B
Y,M,4. Grad,1895422,4_<=45,Y,C,Professional,3High,West,1,L
Y,M,3. Bach,225412,4_<=45,Y,C,Professional,1Low,Midwest,1,A
Y,M,3. Bach,341715,4_<=45,Y,C,Professional,2Med,Northeast,2,G
N,M,4. Grad,12529,1_Unk,N,E,Others,1Low,Northeast,1,K
Y,M,1. HS,162747,4_<=45,N,G,Blue Collar,1Low,South,3,D
N,F,3. Bach,314377,4_<=45,Y,C,Professional,3High,Midwest,1,H
Y,M,4. Grad,261251,5_<=55,Y,B,Sales/Service,2Med,South,5,J
N,U,3. Bach,,1_Unk,Y,C,Sales/Service,1Low,West,7,B
Y,M,3. Bach,513138,5_<=55,Y,B,Professional,3High,South,1,J
N,F,3. Bach,233478,7_>65,N,B,Professional,1Low,West,2,L
Y,M,3. Bach,411637,5_<=55,Y,C,Professional,3High,Northeast,1,G
Y,M,2. Some College,635513,1_Unk,Y,B,Sales/Service,2Med,West,1,I
Y,M,1. HS,925137,1_Unk,Y,E,Blue Collar,1Low,Northeast,5,E
Y,M,2. Some College,479491,2_<=25,N,B,Professional,1Low,South,1,L
N,M,3. Bach,165996,2_<=25,Y,F,Farm,1Low,Northeast,6,F
N,M,2. Some College,294343,3_<=35,Y,F,Blue Collar,2Med,South,1,E
Y,M,3. Bach,197998,3_<=35,Y,C,Blue Collar,2Med,Midwest,5,F
Y,M,1. HS,426342,5_<=55,N,C,Professional,2Med,Northeast,1,G
N,F,. <HS,,1_Unk,N,G,Sales/Service,1Low,West,9,B
Y,F,4. Grad,15585,3_<=35,Y,C,Professional,1Low,South,2,F
N,F,3. Bach,12859,7_>65,Y,B,Sales/Service,1Low,South,1,L
Y,F,3. Bach,957783,6_<=65,Y,B,Professional,1Low,South,1,G
N,F,1. HS,496189,4_<=45,N,B,Sales/Service,1Low,South,1,A
Y,F,3. Bach,,3_<=35,Y,G,Professional,1Low,Northeast,6,C
N,F,3. Bach,298213,3_<=35,N,E,Sales/Service,1Low,West,4,E
Y,M,2. Some College,3812,3_<=35,Y,C,Sales/Service,2Med,South,1,G
Y,M,4. Grad,15,7_>65,Y,B,Retired,1Low,Midwest,1,J
N,M,2. Some College,42718,3_<=35,Y,B,Professional,1Low,Northeast,2,E
N,F,1. HS,121578,5_<=55,Y,J,Professional,1Low,South,1,E
N,M,1. HS,136882,1_Unk,N,F,Blue Collar,1Low,Northeast,5,D
N,F,3. Bach,22563,5_<=55,Y,E,Professional,1Low,South,2,G
Y,M,4. Grad,18547,1_Unk,Y,E,Others,1Low,South,3,G
N,F,2. Some College,224649,3_<=35,Y,C,Professional,1Low,Midwest,1,J
Y,F,1. HS,932,3_<=35,N,I,Blue Collar,1Low,South,1,B
Y,F,1. HS,,5_<=55,Y,B,Sales/Service,1Low,South,5,E
N,F,1. HS,,1_Unk,N,J,Others,1Low,Rest,3,G
Y,M,2. Some College,118379,1_Unk,N,F,Sales/Service,1Low,Midwest,1,E
Y,M,4. Grad,11449,4_<=45,Y,I,Professional,1Low,South,2,E
Y,M,2. Some College,9859,4_<=45,Y,I,Others,1Low,Midwest,7,E
N,F,1. HS,,2_<=25,Y,B,Blue Collar,1Low,West,5,E
N,F,2. Some College,184491,4_<=45,N,F,Sales/Service,2Med,West,3,E
N,F,1. HS,,2_<=25,N,G,Sales/Service,1Low,Midwest,4,A
Y,M,3. Bach,818753,5_<=55,Y,E,Professional,3High,West,1,A
Y,M,2. Some College,42232,1_Unk,Y,E,Professional,2Med,Northeast,2,E
Y,M,2. Some College,169614,6_<=65,Y,I,Professional,1Low,Northeast,2,I
Y,M,4. Grad,,6_<=65,Y,B,Professional,1Low,Midwest,3,C
Y,M,2. Some College,2274,2_<=25,Y,E,Blue Collar,1Low,Northeast,7,G
N,F,2. Some College,28953,2_<=25,N,C,Sales/Service,1Low,South,4,E
N,M,3. Bach,,4_<=45,Y,A,Blue Collar,1Low,West,2,F
Y,M,4. Grad,516921,4_<=45,Y,C,Professional,2Med,South,1,J
Y,M,2. Some College,172775,4_<=45,N,E,Blue Collar,2Med,South,2,B
N,M,1. HS,156142,6_<=65,Y,B,Sales/Service,1Low,South,5,A
N,M,4. Grad,,5_<=55,Y,B,Professional,1Low,Northeast,3,F
N,F,2. Some College,219639,4_<=45,N,C,Professional,2Med,South,7,F
Y,M,3. Bach,448687,3_<=35,Y,B,Professional,1Low,South,1,L
Y,M,1. HS,18846,3_<=35,Y,C,Blue Collar,1Low,Midwest,9,H
N,F,1. HS,14161,1_Unk,N,C,Sales/Service,1Low,West,7,D
Y,F,3. Bach,,1_Unk,Y,G,Professional,1Low,South,8,G
N,M,2. Some College,,7_>65,N,I,Retired,1Low,South,7,B
Y,M,3. Bach,45924,5_<=55,Y,B,Professional,1Low,South,6,L
Y,F,3. Bach,398286,5_<=55,Y,G,Sales/Service,1Low,Northeast,2,E
Y,M,2. Some College,36237,7_>65,Y,C,Retired,3High,South,1,G
N,F,2. Some College,154245,6_<=65,Y,E,Sales/Service,1Low,Northeast,2,A
N,F,1. HS,11772,7_>65,Y,E,Retired,1Low,West,6,D
N,M,3. Bach,,4_<=45,Y,I,Professional,1Low,South,5,E
Y,M,1. HS,,5_<=55,Y,E,Blue Collar,1Low,Northeast,2,D
Y,M,,,1_Unk,Y,J,Others,1Low,Midwest,9,D
Y,F,3. Bach,133677,3_<=35,Y,E,Others,1Low,Northeast,4,E
N,M,1. HS,496255,7_>65,N,E,Retired,1Low,South,4,F
Y,M,4. Grad,116649,7_>65,Y,B,Professional,3High,West,2,L
N,M,1. HS,,6_<=65,Y,I,Retired,1Low,Midwest,5,E
Y,M,3. Bach,31525,4_<=45,Y,C,Blue Collar,2Med,South,3,G
N,M,4. Grad,,5_<=55,Y,B,Professional,1Low,Northeast,8,F
N,M,1. HS,,1_Unk,N,G,Sales/Service,1Low,South,8,D
Y,F,4. Grad,381118,7_>65,Y,E,Professional,1Low,South,1,D
N,F,4. Grad,,6_<=65,Y,B,Sales/Service,1Low,Northeast,1,E
N,M,1. HS,376922,5_<=55,N,C,Professional,1Low,West,1,H
Y,F,2. Some College,13747,4_<=45,N,C,Professional,2Med,South,2,F
Y,F,1. HS,12874,7_>65,Y,D,Retired,1Low,Midwest,7,C
N,M,4. Grad,65113,5_<=55,Y,C,Professional,1Low,West,1,J
Y,M,3. Bach,28122,5_<=55,Y,C,Sales/Service,2Med,West,2,H
Y,M,2. Some College,8987,6_<=65,Y,F,Blue Collar,1Low,South,2,E
N,M,. <HS,7273,7_>65,Y,G,Retired,1Low,South,5,A
N,M,1. HS,4928,3_<=35,N,I,Others,1Low,South,6,B
N,F,2. Some College,,4_<=45,N,J,Sales/Service,1Low,South,3,D
N,F,1. HS,55367,2_<=25,Y,C,Professional,3High,Midwest,1,L
N,F,1. HS,1522,6_<=65,N,I,Professional,1Low,West,4,B
N,F,2. Some College,,1_Unk,N,F,Sales/Service,1Low,South,7,G
N,F,1. HS,17345,6_<=65,Y,J,Retired,1Low,South,4,B
N,F,1. HS,,1_Unk,Y,G,Professional,1Low,West,3,C
N,F,1. HS,251626,7_>65,Y,D,Professional,1Low,Northeast,2,D
N,F,2. Some College,123987,4_<=45,Y,J,Sales/Service,1Low,South,7,F
Y,M,1. HS,249322,1_Unk,Y,E,Professional,1Low,Midwest,1,E
Y,M,4. Grad,3915,3_<=35,Y,E,Sales/Service,1Low,South,3,E
Y,F,3. Bach,323321,6_<=65,N,B,Professional,2Med,South,4,L
N,M,1. HS,,5_<=55,N,E,Sales/Service,1Low,Midwest,2,E
N,M,2. Some College,132871,4_<=45,Y,F,Blue Collar,1Low,Northeast,4,D
Y,M,4. Grad,81687,5_<=55,Y,C,Sales/Service,3High,South,1,F
N,F,3. Bach,166334,1_Unk,Y,F,Professional,2Med,Midwest,2,B
Y,F,4. Grad,49216,6_<=65,Y,B,Sales/Service,2Med,South,1,I
N,F,2. Some College,387168,2_<=25,Y,B,Sales/Service,1Low,Northeast,1,J
Y,M,3. Bach,334739,3_<=35,Y,E,Professional,1Low,West,4,F
N,F,1. HS,,1_Unk,Y,F,Professional,1Low,West,3,G
N,M,2. Some College,11663,2_<=25,Y,C,Sales/Service,1Low,South,4,G
Y,M,4. Grad,1573,6_<=65,Y,B,Professional,3High,Midwest,1,L
N,F,1. HS,32745,7_>65,Y,B,Retired,1Low,South,1,F
N,U,1. HS,,1_Unk,N,H,Sales/Service,1Low,South,9,C
N,F,. <HS,169129,7_>65,N,D,Retired,2Med,South,7,F
N,F,2. Some College,246885,7_>65,Y,D,Retired,1Low,West,3,E
N,M,2. Some College,11722,4_<=45,N,E,Professional,1Low,Midwest,3,H
Y,M,4. Grad,424184,2_<=25,Y,C,Sales/Service,2Med,West,2,H
Y,M,3. Bach,676454,3_<=35,Y,C,Professional,2Med,West,1,G
N,M,2. Some College,368692,3_<=35,Y,E,Sales/Service,1Low,South,2,D
Y,M,. <HS,17851,6_<=65,N,B,Sales/Service,1Low,Midwest,2,F
Y,M,. <HS,311761,6_<=65,Y,B,Professional,1Low,Midwest,1,K
N,F,3. Bach,38259,7_>65,Y,C,Retired,1Low,Midwest,1,J
Y,F,1. HS,6714,5_<=55,N,E,Professional,1Low,Northeast,1,J
N,M,4. Grad,184166,7_>65,Y,C,Retired,1Low,Midwest,4,G
Y,M,. <HS,64158,7_>65,Y,E,Sales/Service,1Low,South,2,G
Y,M,2. Some College,287215,5_<=55,Y,C,Professional,1Low,Midwest,2,H
Y,M,2. Some College,8217,4_<=45,Y,C,Sales/Service,3High,South,1,L
N,F,1. HS,373488,7_>65,N,E,Retired,1Low,West,2,G
N,F,3. Bach,1527,6_<=65,N,H,Sales/Service,1Low,Midwest,1,C
N,M,4. Grad,32779,1_Unk,Y,C,Others,1Low,Midwest,1,F
N,M,1. HS,436,4_<=45,Y,C,Blue Collar,1Low,South,1,G
N,F,. <HS,,7_>65,N,H,Retired,1Low,Northeast,7,B
N,F,1. HS,398,7_>65,N,G,Retired,1Low,South,2,C
Y,M,1. HS,11871,2_<=25,Y,J,Blue Collar,1Low,South,8,E
Y,F,4. Grad,257,6_<=65,Y,E,Professional,2Med,West,1,E
N,F,3. Bach,28122,6_<=65,Y,H,Sales/Service,1Low,West,5,F
N,F,2. Some College,,2_<=25,Y,G,Sales/Service,1Low,South,9,C
Y,F,2. Some College,19184,6_<=65,Y,A,Professional,2Med,Northeast,1,D
N,M,4. Grad,14234,7_>65,Y,B,Professional,1Low,South,1,L
N,F,3. Bach,89271,7_>65,Y,B,Professional,3High,West,1,E
N,F,,19859,5_<=55,Y,D,Professional,1Low,South,2,F
N,F,. <HS,261,7_>65,N,I,Retired,1Low,South,4,L
Y,F,3. Bach,962688,4_<=45,N,B,Professional,1Low,Northeast,3,L
N,M,3. Bach,584174,7_>65,Y,B,Professional,1Low,Midwest,1,E
Y,F,2. Some College,152785,4_<=45,N,F,Sales/Service,2Med,South,2,E
N,M,2. Some College,,7_>65,Y,J,Retired,1Low,West,1,F
N,M,1. HS,462,5_<=55,Y,F,Sales/Service,1Low,Midwest,2,E
N,M,4. Grad,239996,5_<=55,Y,E,Professional,2Med,Midwest,1,C
N,M,3. Bach,,3_<=35,N,G,Sales/Service,1Low,Midwest,6,D
Y,M,4. Grad,28173,7_>65,Y,B,Professional,1Low,Midwest,1,L
Y,F,,232987,1_Unk,Y,E,Others,2Med,Northeast,3,E
Y,F,3. Bach,187229,5_<=55,Y,F,Blue Collar,1Low,South,3,I
Y,F,1. HS,341518,5_<=55,Y,B,Professional,2Med,Northeast,1,F
Y,M,3. Bach,213422,3_<=35,Y,B,Professional,1Low,West,2,G
N,F,3. Bach,88529,7_>65,N,D,Professional,1Low,South,8,E
N,U,2. Some College,2,2_<=25,N,G,Professional,1Low,West,8,C
Y,M,3. Bach,425754,5_<=55,Y,C,Professional,2Med,Northeast,1,H
Y,M,2. Some College,565644,5_<=55,Y,B,Sales/Service,3High,South,1,L
Y,F,3. Bach,459936,6_<=65,Y,C,Professional,1Low,South,1,J
N,M,2. Some College,261861,2_<=25,N,B,Professional,2Med,Midwest,1,E
Y,F,1. HS,,4_<=45,Y,E,Professional,1Low,Northeast,4,F
Y,F,2. Some College,123824,6_<=65,Y,I,Sales/Service,1Low,South,2,A
N,M,3. Bach,23653,3_<=35,Y,C,Professional,2Med,Midwest,3,G
N,M,3. Bach,285754,6_<=65,N,E,Professional,1Low,South,1,G
N,F,2. Some College,276315,5_<=55,Y,E,Professional,1Low,West,7,A
N,F,1. HS,2943,5_<=55,Y,E,Sales/Service,3High,Midwest,2,F
N,F,4. Grad,,4_<=45,N,G,Professional,1Low,South,7,D
Y,F,1. HS,97119,7_>65,N,I,Others,1Low,Northeast,5,A
Y,F,. <HS,245412,1_Unk,N,G,Professional,1Low,Northeast,4,C
N,M,1. HS,1646,4_<=45,Y,E,Others,1Low,South,4,E
N,U,1. HS,333834,1_Unk,N,E,Professional,1Low,Northeast,5,I
Y,F,2. Some College,,7_>65,Y,I,Retired,1Low,South,7,E
Y,M,4. Grad,318977,3_<=35,N,E,Professional,2Med,South,1,E
N,M,1. HS,185866,1_Unk,Y,D,Sales/Service,1Low,Northeast,4,F
Y,M,4. Grad,28449,6_<=65,Y,B,Professional,1Low,South,1,G
Y,M,1. HS,34679,7_>65,Y,H,Retired,1Low,Northeast,6,F
N,F,3. Bach,4625,4_<=45,Y,C,Professional,3High,South,1,I
N,F,1. HS,29716,3_<=35,Y,B,Professional,1Low,South,4,E
N,M,. <HS,148588,4_<=45,N,G,Farm,1Low,West,8,A
Y,M,4. Grad,485268,1_Unk,Y,B,Sales/Service,3High,Northeast,1,G
N,F,. <HS,,6_<=65,Y,E,Professional,1Low,Northeast,3,E
Y,F,3. Bach,294954,4_<=45,Y,C,Professional,1Low,Northeast,1,J
N,F,2. Some College,,4_<=45,N,G,Sales/Service,1Low,West,6,A
Y,M,4. Grad,,5_<=55,Y,F,Professional,1Low,West,9,D
N,M,1. HS,,6_<=65,Y,I,Blue Collar,1Low,Midwest,7,B
Y,M,2. Some College,,5_<=55,Y,J,Professional,1Low,Northeast,1,F
N,F,2. Some College,14427,4_<=45,N,F,Sales/Service,1Low,Midwest,2,F
N,M,4. Grad,15533,7_>65,Y,D,Retired,1Low,West,4,D
N,M,2. Some College,,2_<=25,Y,E,Sales/Service,1Low,South,9,G
Y,M,. <HS,99211,6_<=65,N,G,Blue Collar,1Low,West,7,D
N,M,. <HS,1862,4_<=45,N,F,Blue Collar,1Low,South,9,D
N,F,3. Bach,1441252,4_<=45,Y,C,Professional,3High,West,1,H
Y,M,3. Bach,1162855,4_<=45,Y,C,Professional,3High,West,1,K
Y,M,2. Some College,21275,3_<=35,Y,C,Sales/Service,2Med,West,2,E
N,M,4. Grad,164938,4_<=45,Y,G,Blue Collar,1Low,Midwest,8,B
Y,M,. <HS,,3_<=35,Y,B,Blue Collar,1Low,Midwest,3,F
N,F,. <HS,,1_Unk,Y,G,Sales/Service,1Low,Northeast,9,B
N,F,3. Bach,3838,3_<=35,Y,C,Professional,3High,South,1,H
Y,M,2. Some College,,1_Unk,Y,G,Sales/Service,1Low,Midwest,9,C
N,M,. <HS,157178,3_<=35,Y,F,Sales/Service,2Med,South,2,E
Y,M,4. Grad,156166,5_<=55,Y,C,Professional,3High,West,1,J
Y,M,,971,1_Unk,Y,I,Others,1Low,West,3,F
N,M,2. Some College,74126,7_>65,Y,F,Retired,1Low,Midwest,3,D
N,M,1. HS,31657,2_<=25,Y,H,Farm,1Low,South,3,F
Y,M,1. HS,1,3_<=35,Y,C,Professional,1Low,South,1,J
Y,M,3. Bach,229554,4_<=45,Y,C,Professional,1Low,South,1,A
Y,M,1. HS,12774,7_>65,Y,D,Retired,1Low,South,6,B
N,F,2. Some College,61149,7_>65,Y,F,Retired,1Low,South,4,B
N,F,2. Some College,159861,4_<=45,N,E,Blue Collar,1Low,West,5,F
N,F,2. Some College,254787,6_<=65,N,E,Retired,1Low,Northeast,8,E
N,F,. <HS,76376,1_Unk,N,E,Sales/Service,1Low,Northeast,9,D
N,F,3. Bach,,3_<=35,N,C,Professional,1Low,South,4,E
Y,M,3. Bach,262853,4_<=45,Y,C,Professional,1Low,South,2,F
N,M,3. Bach,494424,7_>65,N,D,Retired,2Med,West,3,I
Y,F,3. Bach,539269,5_<=55,Y,C,Professional,1Low,South,2,K
N,M,4. Grad,344658,7_>65,N,D,Professional,1Low,Northeast,1,J
Y,M,1. HS,6741,2_<=25,N,B,Professional,1Low,South,1,L
N,M,4. Grad,1752382,7_>65,N,B,Retired,1Low,South,1,L
Y,M,3. Bach,52911,3_<=35,Y,E,Sales/Service,3High,West,2,G
Y,M,1. HS,247212,7_>65,N,D,Retired,1Low,West,7,E
N,F,3. Bach,3884,5_<=55,Y,E,Professional,1Low,Northeast,1,D
Y,F,4. Grad,868315,5_<=55,Y,B,Professional,3High,South,1,J
Y,M,3. Bach,333845,2_<=25,Y,B,Professional,2Med,South,1,I
N,M,3. Bach,5559,4_<=45,Y,E,Blue Collar,1Low,Midwest,3,E
N,M,2. Some College,168623,4_<=45,Y,D,Blue Collar,1Low,West,4,D
Y,F,3. Bach,28449,7_>65,Y,B,Retired,3High,Midwest,1,G
Y,M,4. Grad,821736,6_<=65,N,C,Professional,1Low,West,1,G
N,M,2. Some College,227265,2_<=25,N,E,Blue Collar,2Med,West,5,E
Y,M,3. Bach,1679,3_<=35,Y,B,Blue Collar,1Low,Midwest,3,F
N,M,1. HS,57552,3_<=35,Y,J,Farm,1Low,South,8,E
Y,M,4. Grad,462334,4_<=45,Y,C,Professional,3High,Northeast,1,I
Y,M,4. Grad,1172196,1_Unk,Y,B,Professional,1Low,South,1,L
N,U,4. Grad,24416,1_Unk,N,C,Professional,3High,South,5,E
N,M,2. Some College,55263,5_<=55,N,F,Blue Collar,1Low,South,8,D
Y,F,4. Grad,42425,5_<=55,Y,B,Sales/Service,1Low,Midwest,1,I
N,F,3. Bach,36624,7_>65,Y,C,Professional,1Low,South,1,H
N,U,1. HS,,6_<=65,N,J,Blue Collar,1Low,South,4,H
Y,M,3. Bach,22939,6_<=65,Y,B,Professional,1Low,South,3,G
N,F,1. HS,11173,4_<=45,N,E,Sales/Service,1Low,South,6,E
N,F,1. HS,5,7_>65,Y,F,Retired,1Low,Northeast,3,E
N,M,3. Bach,148512,4_<=45,N,F,Blue Collar,1Low,Northeast,2,D
Y,M,3. Bach,,7_>65,Y,D,Professional,1Low,Midwest,2,E
N,F,1. HS,,5_<=55,Y,E,Sales/Service,1Low,Northeast,9,F
N,F,2. Some College,186491,6_<=65,N,J,Professional,1Low,South,1,D
N,F,1. HS,14784,7_>65,Y,J,Retired,1Low,South,3,E
N,M,. <HS,18768,1_Unk,N,C,Sales/Service,2Med,South,6,G
Y,M,,239458,1_Unk,N,B,Professional,2Med,South,3,K
N,M,1. HS,27487,5_<=55,Y,E,Others,2Med,Northeast,2,E
N,M,4. Grad,1,1_Unk,Y,G,Professional,1Low,South,6,D
N,F,. <HS,,7_>65,N,H,Retired,1Low,Midwest,8,D
N,F,. <HS,,7_>65,N,G,Retired,1Low,South,5,E
Y,M,1. HS,22176,4_<=45,N,A,Sales/Service,1Low,South,1,G
Y,F,2. Some College,26323,5_<=55,Y,G,Blue Collar,1Low,Rest,5,B
N,M,2. Some College,1497,6_<=65,N,B,Professional,1Low,Midwest,2,A
Y,M,. <HS,191157,3_<=35,Y,F,Sales/Service,1Low,Northeast,3,C
N,M,4. Grad,165985,7_>65,Y,D,Retired,1Low,Northeast,1,F
N,M,1. HS,,1_Unk,Y,G,Sales/Service,1Low,Northeast,9,C
N,F,4. Grad,,4_<=45,Y,E,Sales/Service,1Low,West,3,E
Y,F,2. Some College,,5_<=55,Y,E,Professional,1Low,South,2,A
N,M,2. Some College,,2_<=25,Y,J,Blue Collar,1Low,South,6,B
N,F,2. Some College,,5_<=55,N,E,Sales/Service,1Low,West,3,H
N,F,. <HS,32538,3_<=35,Y,J,Professional,1Low,South,2,G
Y,M,1. HS,1854,4_<=45,Y,B,Blue Collar,1Low,West,3,E
N,M,3. Bach,313625,7_>65,Y,B,Retired,2Med,South,2,G
Y,M,3. Bach,56294,4_<=45,Y,E,Professional,1Low,West,1,E
Y,M,3. Bach,814555,4_<=45,N,A,Professional,1Low,South,1,F
N,F,. <HS,468918,7_>65,N,H,Retired,1Low,Midwest,4,D
Y,F,1. HS,165789,6_<=65,Y,F,Others,1Low,West,7,A
N,F,4. Grad,,3_<=35,Y,F,Sales/Service,1Low,Northeast,3,D
N,F,1. HS,3484,7_>65,N,J,Retired,1Low,South,5,F
Y,M,2. Some College,,1_Unk,Y,H,Blue Collar,1Low,Midwest,8,E
Y,F,3. Bach,376,5_<=55,Y,E,Professional,3High,Midwest,2,G
N,M,2. Some College,13361,2_<=25,N,C,Blue Collar,1Low,Midwest,5,F
Y,M,2. Some College,19293,1_Unk,N,J,Sales/Service,1Low,Midwest,1,C
N,M,2. Some College,229881,1_Unk,N,B,Sales/Service,1Low,Midwest,7,E
N,F,3. Bach,,1_Unk,N,B,Professional,1Low,Northeast,1,A
